;;;;;;;;;;;640;;;;;;;;0;;;;;
;;;;;;;;;;;640;;;;;;;;0;;;;;
;;;;;;;;;;; 71.012,91 ;;;;;;;;0;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;H?ng m?c;D3  ??n ngày 7/10/2025;;;;;;;;;D4 ( kh?i D4 ch?a ký h?p ??ng nhà th?u);;;;;;;;;T?NG C?NG D3 VÀ D4 (D3+D4);;;;
;;Giá tr? h?p ??ng ;Giá tr? ?ã th?c hi?n ;T?m ?ng theo H?;???c quy?n thanh toán;?ã thanh toán ;Công n? còn l?i ???c quy?n thanh toán;giá tr? gi? l?i còn ph?i tr?;"T?ng Giá tr?  HD còn l?i
ch?a th?c hi?n D3";t?ng giá tr? c?n ph?i thanh toán;Giá tr? h?p ??ng D4 ;Giá tr? ?ã th?c hi?n ;T?m ?ng theo H?;???c quy?n thanh toán;?ã thanh toán ;Công n? còn l?i ???c quy?n thanh toán;giá tr? gi? l?i còn l?i  ph?i tr?;"T?ng Giá tr?  HD còn l?i
ch?a th?c hi?n D4"; t?ng giá tr? c?n ph?i thanh toán ;Giá tr? còn l?i ???c quy?n ph?i thanh toán D3 và D4;Giá tr? gi? l?i còn ph?i thanh toán;Giá tr? h?p ??ng còn ph?i th?c hi?n;Dòng ti?n còn ph?i th?c hi?n;
;T?NG C?NG; 1.244.683.355.197 ; 617.178.473.271 ; 24.405.569.673 ; 550.975.905.325 ; 477.725.875.975 ; 62.745.885.596 ; 63.138.224.019 ; 627.504.881.926 ; 742.551.909.548 ; 576.881.411.072 ; 95.352.723.024 ; 1.353.708.757 ; 86.371.808.227 ; 79.055.861.795 ; 4.964.225.266 ; 8.980.914.797 ; 481.528.688.048 ; 333.864.541.257 ; 67.710.110.862 ; 72.119.138.816 ; 1.109.033.569.974 ; 1.076.416.450.806 ;
A;Xây d?ng; 713.636.471.155 ; 557.739.685.082 ; -   ; 503.045.251.710 ; 451.819.798.735 ; 40.721.309.221 ; 51.630.089.445 ; 155.896.786.073 ; 261.816.672.419 ; 356.405.477.577 ; 95.352.723.024 ; -   ; 86.371.808.227 ; 79.055.861.795 ; 4.964.225.266 ; 8.980.914.797 ; 261.052.754.553 ; 114.742.316.519 ; 45.685.534.487 ; 60.611.004.242 ; 416.949.540.626 ; 376.558.988.938 ;
1;Tháp A - HLP ( One Truss) ; 215.863.784.445 ; 215.863.784.445 ; -   ; 187.644.676.146 ; 187.644.676.146 ; -   ; 28.219.108.299 ; -   ; 28.219.108.299 ; 19.745.366.388 ; 19.745.366.388 ; -   ; 19.745.366.388 ; 19.745.366.388 ; -   ; -   ; -   ; -   ; -   ; 28.219.108.299 ; -   ; 28.219.108.299 ;
; + theo H? 100% ( riêng HLP/one Truss ko gi? l?i , chuy?n giá tr? gi? l?i  qua Ardor); 209.980.116.509 ; 209.980.116.509 ; -   ; 181.761.008.210 ; 181.761.008.210 ; -   ; 28.219.108.299 ; -   ; 28.219.108.299 ; 18.844.820.122 ; 18.844.820.122 ; -   ; 18.844.820.122 ; 18.844.820.122 ; -   ; -   ; -   ; -   ; -   ; 28.219.108.299 ; -   ; 28.219.108.299 ;
